type	name	iata_code	coordinates
small_airport	Kumgang Airfield		"128.004155, 38.564295"
small_airport	Mirim Aviation Club		"125.847493, 39.009618"
small_airport	Nuchon Ni Airfield		"126.1203, 38.23791"
small_airport	Onchon Underground Fighter Base		"125.280361, 38.885955"
small_airport	Panghyon Highway Strip 2		"125.149727, 39.813662"
small_airport	Pyong Ni West Highway Strip Airstrip		"125.670376, 39.410004"
heliport	Pâyongnyung-Ni Helicopter Base		"129.248378, 40.969416"
heliport	Pyongyang City Heliport (K-24)		"125.809958, 39.04152"
small_airport	Sunan-Up North Highway Strip Airfield		"125.705674, 39.255643"
small_airport	Tanchon South Airstrip		"128.855596, 40.400523"
small_airport	Yong Hung Highway Reserve Strip Airfield		"127.288499, 39.538767"
small_airport	Ihyon Ni Highway Strip Airfield		"125.86843, 38.061253"
small_airport	Sangwon 2 Highway Strip Airfield		"126.080089, 38.760509"
small_airport	Sohung Highway Strip Airfield		"126.234723, 38.283486"
heliport	Kanjin (Rajin) Heliport		"130.316927, 42.21942"
small_airport	Yo-do Airstrip		"127.62385, 39.233059"
heliport	Okryu Childrensâ Hospital Heliport		"125.783168, 39.023826"
small_airport	Ch'o do Airport		"124.83261, 38.551953"
small_airport	Eric Marcus Municipal Airport		"-112.86699676514, 32.450099945068"
small_airport	Cochise College Airport		"-109.69000244140625, 31.3710994720459"
small_airport	Bisbee Municipal Airport	BSQ	"-109.883003235, 31.3640003204"
small_airport	Coolidge Municipal Airport		"-111.427001953125, 32.9359016418457"
small_airport	Polacca Airport	PXL	"-110.422996521, 35.7916984558"
small_airport	San Carlos Apache Airport	GLB	"-110.666999817, 33.353099823"
small_airport	Holbrook Municipal Airport	HBK	"-110.138000488, 34.940700531"
small_airport	Stellar Airpark		"-111.915795, 33.298829"
small_airport	Avi Suquilla Airport		"-114.271003, 34.1506"
small_airport	Seligman Airport		"-112.887001, 35.334999"
small_airport	Tombstone Municipal Airport		"-110.023003, 31.6709"
small_airport	Cochise County Airport	CWX	"-109.8949966, 32.24539948"
small_airport	Cottonwood Airport		"-112.035003662, 34.7299995422"
medium_airport	Snohomish County (Paine Field) Airport	PAE	"-122.2819977, 47.90629959"
medium_airport	Barkley Regional Airport	PAH	"-88.7738037109375, 37.06079864501953"
large_airport	Tyndall Air Force Base	PAM	"-85.57540130619999, 30.0695991516"
small_airport	Payson Airport	PJB	"-111.33899688721, 34.256801605225"
small_airport	Palo Alto Airport of Santa Clara County	PAO	"-122.114997864, 37.461101532"
seaplane_base	Point Baker Seaplane Base	KPB	"-133.623001099, 56.3518981934"
medium_airport	"Pine Bluff Regional Airport, Grider Field"	PBF	"-91.9356, 34.1731"
medium_airport	Plattsburgh International Airport	PBG	"-73.46810150146484, 44.650901794433594"
small_airport	Price County Airport		"-90.40249633789062, 45.70899963378906"
large_airport	Palm Beach International Airport	PBI	"-80.09559631347656, 26.68320083618164"
small_airport	Pike County-Hatcher Field	PVL	"-82.56639862, 37.5617981"
heliport	Picacho Stagefield Heliport		"-111.487970352, 32.6627893853"
small_airport	Plant City Municipal Airport		"-82.16419983, 28.00020027"
closed	Picayune Airport		"-89.70690155029297, 30.522499084472656"
small_airport	Carl R Keller Field		"-82.86869812011719, 41.516300201416016"
small_airport	Waupaca Municipal Airport		"-89.01979828, 44.33330154"
small_airport	Prairie Du Chien Municipal Airport	PCD	"-91.12370300293, 43.019298553467"
medium_airport	DeKalb Peachtree Airport	PDK	"-84.3020019531, 33.8755989075"
medium_airport	Eastern Oregon Regional At Pendleton Airport	PDT	"-118.841003418, 45.695098877"
large_airport	Portland International Airport	PDX	"-122.5979996, 45.58869934"
small_airport	Yapsiei Airport	KPE	"141.094166667, -4.6280555555600005"
small_airport	Pella Municipal Airport		"-92.9458999633789, 41.40010070800781"
small_airport	Penn Yan Airport		"-77.05290222167969, 42.63710021972656"
small_airport	Pecos Municipal Airport	PEQ	"-103.51100158691, 31.382400512695"
small_airport	Paynesville Municipal Airport		"-94.74659729003906, 45.37229919433594"
small_airport	Pleasanton Municipal Airport		"-98.5199966430664, 28.954200744628906"
closed	Panama City-Bay Co International Airport		"-85.6828, 30.212099"
medium_airport	Page Municipal Airport	PGA	"-111.447998, 36.92610168"
small_airport	Charlotte County Airport	PGD	"-81.9905014, 26.92020035"
small_airport	Kirk Field	PGR	"-90.50779724, 36.06290054"
medium_airport	Pitt Greenville Airport	PGV	"-77.38529968, 35.6352005"
seaplane_base	Pauloff Harbor Seaplane Base		"-162.694000244, 54.4590988159"
small_airport	Harry Clever Field	PHD	"-81.419700622559, 40.470901489258"
large_airport	Newport News Williamsburg International Airport	PHF	"-76.49299622, 37.13190079"
small_airport	Phillipsburg Municipal Airport		"-99.31710052490234, 39.735801696777344"
small_airport	Robert F Swinnie Airport	ADR	"-79.5261993408, 33.4516983032"
small_airport	Palm Beach County Glades Airport	PHK	"-80.69339752, 26.78499985"
large_airport	Philadelphia International Airport	PHL	"-75.24109649658203, 39.87189865112305"
small_airport	St Clair County International Airport	PHN	"-82.52890015, 42.9109993"
small_airport	Philip Airport	PHP	"-101.59899902344, 44.048599243164"
small_airport	Henry County Airport	PHT	"-88.38289642330001, 36.338199615499995"
large_airport	Phoenix Sky Harbor International Airport	PHX	"-112.01200103759766, 33.43429946899414"
large_airport	General Wayne A. Downing Peoria International Airport	PIA	"-89.6932983398, 40.664199829100006"
medium_airport	Hattiesburg Laurel Regional Airport	PIB	"-89.33709716796875, 31.467100143432617"
medium_airport	St Petersburg Clearwater International Airport	PIE	"-82.68740082, 27.91020012"
medium_airport	Pocatello Regional Airport	PIH	"-112.59600067138672, 42.9098014831543"
small_airport	Port Isabel Cameron County Airport		"-97.34590148925781, 26.166200637817383"
small_airport	Harris County Airport	PIM	"-84.8824005127, 32.8406982422"
medium_airport	Pierre Regional Airport	PIR	"-100.2860031, 44.38270187"
large_airport	Pittsburgh International Airport	PIT	"-80.23290253, 40.49150085"
small_airport	Zelienople Municipal Airport		"-80.16069794, 40.80160141"
small_airport	Pinckneyville Du Quoin Airport		"-89.3604965209961, 37.977901458740234"
medium_airport	Mid Ohio Valley Regional Airport	PKB	"-81.43920135498047, 39.34510040283203"
small_airport	Park Rapids Municipal Konshok Field	PKD	"-95.073095, 46.9006"
small_airport	Park Falls Municipal Airport	PKF	"-90.42440032959, 45.955001831055"
small_airport	Calhoun County Airport		"-96.6812973, 28.65399933"
small_airport	Kapal Airport	KPL	"142.823756, -8.630184"
closed	Clinton County Airport	PLB	"-73.52449798583984, 44.6875"
small_airport	Portland Municipal Airport		"-84.99009705, 40.45080185"
small_airport	M. Graham Clark Downtown Airport	PLK	"-93.22889709, 36.62590027"
medium_airport	Pellston Regional Airport of Emmet County Airport	PLN	"-84.79669952, 45.57089996"
small_airport	St Clair County Airport	PLR	"-86.249099731445, 33.558799743652"
small_airport	Pierce County-Thun Field		"-122.287003, 47.103901"
small_airport	Pembina Municipal Airport	PMB	"-97.2407989502, 48.9425010681"
medium_airport	Palmdale Regional/USAF Plant 42 Airport	PMD	"-118.0849991, 34.62939835"
small_airport	Greater Portsmouth Regional Airport	PMH	"-82.84729766850002, 38.8404998779"
small_airport	Pompano Beach Airpark	PPM	"-80.111099243164, 26.247100830078"
small_airport	Panola County Airport		"-89.89260101, 34.36349869"
small_airport	Plattsmouth Municipal Airport		"-95.91790009, 40.95019913"
small_airport	Plymouth Municipal Airport		"-76.7593002319336, 35.80839920043945"
medium_airport	Ralph Wenz Field	PWY	"-109.8069992, 42.79550171"
medium_airport	Ponca City Regional Airport	PNC	"-97.09980011, 36.73199844"
medium_airport	Northeast Philadelphia Airport	PNE	"-75.010597, 40.081902"
small_airport	Princeton Municipal Airport		"-93.60820007, 45.55989838"
small_airport	Princeton Municipal Airport	PNN	"-67.564399719238, 45.200698852539"
medium_airport	Pensacola Regional Airport	PNS	"-87.186599731445, 30.473400115967"
small_airport	Pontiac Municipal Airport		"-88.6239013671875, 40.924400329589844"
medium_airport	Pope Field	POB	"-79.014503479004, 35.1708984375"
small_airport	Brackett Field	POC	"-117.78199768066, 34.091598510742"
medium_airport	Polk Army Air Field	POE	"-93.1917038, 31.0447998"
small_airport	Poplar Bluff Municipal Airport	POF	"-90.324897766113, 36.773899078369"
small_airport	Pocahontas Municipal Airport		"-94.64730072, 42.74280167"
medium_airport	Dutchess County Airport	POU	"-73.88420104980469, 41.6265983581543"
small_airport	Portage County Airport		"-81.2516021729, 41.2102012634"
small_airport	Powell Municipal Airport	POY	"-108.79299926758, 44.867198944092"
small_airport	Perry Lefors Field	PPA	"-100.99600219727, 35.612998962402"
small_airport	Tri-City Airport	PPF	"-95.5062027, 37.32989883"
small_airport	La Porte Municipal Airport	LPO	"-86.73449707030001, 41.5724983215"
small_airport	Pittsfield Penstone Municipal Airport		"-90.77839660644531, 39.63890075683594"
medium_airport	Presque Isle International Airport	PQI	"-68.0448, 46.688999"
small_airport	Trent Lott International Airport	PGL	"-88.529197692871, 30.462799072266"
small_airport	Pipestone Municipal Airport		"-96.30030059814453, 43.983299255371094"
seaplane_base	Port Williams Seaplane Base	KPR	"-152.582000732, 58.4901008606"
medium_airport	Paso Robles Municipal Airport	PRB	"-120.6269989, 35.67290115"
medium_airport	Prescott Regional Airport - Ernest A. Love Field	PRC	"-112.419998, 34.654499"
small_airport	Edgar County Airport		"-87.66960144042969, 39.700199127197266"
small_airport	Mac Crenshaw Memorial Airport		"-86.61070251, 31.84569931"
small_airport	Perry Municipal Airport	PRO	"-94.15989685, 41.82799911"
small_airport	Presidio Lely International Airport		"-104.361493, 29.634212"
medium_airport	Cox Field	PRX	"-95.450798034668, 33.636600494385"
small_airport	Portales Municipal Airport		"-103.41000366210938, 34.14550018310547"
small_airport	Mid-State Regional Airport		"-78.087303161621, 40.884399414062"
medium_airport	Tri Cities Airport	PSC	"-119.11900329589844, 46.26470184326172"
small_airport	Pittsfield Municipal Airport	PSF	"-73.2929, 42.4268"
small_airport	New River Valley Airport	PSK	"-80.678497314453, 37.137298583984"
medium_airport	Portsmouth International at Pease Airport	PSM	"-70.8233032227, 43.0778999329"
small_airport	Palestine Municipal Airport	PSN	"-95.706298828125, 31.779699325562"
small_airport	Stevens Field	PGO	"-107.0559998, 37.28630066"
medium_airport	Palm Springs International Airport	PSP	"-116.50700378417969, 33.8297004699707"
small_airport	Palacios Municipal Airport	PSX	"-96.250999450684, 28.727500915527"
small_airport	Dinwiddie County Airport	PTB	"-77.507400512695, 37.183799743652"
small_airport	Potsdam Municipal-Damon field		"-74.9484024, 44.67670059"
closed	Pennington Gap Airport		"-83.037201, 36.746101"
medium_airport	Oakland County International Airport	PTK	"-83.420097351074, 42.665500640869"
small_airport	Harry P Williams Memorial Airport	PTN	"-91.338996887207, 29.709499359131"
small_airport	Atkinson Municipal Airport		"-94.7311019897461, 37.449501037597656"
small_airport	Pratt Regional Airport	PTT	"-98.74690247, 37.70159912"
small_airport	Porterville Municipal Airport	PTV	"-119.06300354004, 36.029598236084"
small_airport	Heritage Field	PTW	"-75.556702, 40.239601"
small_airport	Pueblo Memorial Airport	PUB	"-104.49700164794922, 38.289100646972656"
small_airport	Carbon County Regional/Buck Davis Field	PUC	"-110.7509995, 39.61389923"
small_airport	Paulding Northwest Atlanta Airport		"-84.942083, 33.913306"
medium_airport	Pullman Moscow Regional Airport	PUW	"-117.110001, 46.7439"
small_airport	Platteville Municipal Airport		"-90.44439697, 42.68939972"
small_airport	Provincetown Municipal Airport	PVC	"-70.2213973999, 42.0718994141"
large_airport	Theodore Francis Green State Airport	PVD	"-71.420403, 41.732601"
small_airport	Beech River Regional Airport		"-88.19539642333984, 35.65639877319336"
small_airport	Placerville Airport	PVF	"-120.75299835205, 38.724201202393"
small_airport	Hampton Roads Executive Airport		"-76.44879913330001, 36.7802009583"
small_airport	Pauls Valley Municipal Airport		"-97.22319794, 34.71110153"
medium_airport	Provo Municipal Airport	PVU	"-111.72299957275, 40.219200134277"
small_airport	Hale County Airport	PVW	"-101.71700286865, 34.168098449707"
closed	Casement Airport	PVZ	"-81.21920013430001, 41.73360061649999"
small_airport	Wiley Post Airport	PWA	"-97.64710236, 35.53419876"
small_airport	Pine River Regional Airport		"-94.38169860839844, 46.72480010986328"
small_airport	Sher-Wood Airport	PWD	"-104.53399658203, 48.790298461914"
small_airport	McGregor Executive Airport		"-97.3164978, 31.48489952"
medium_airport	Chicago Executive Airport	PWK	"-87.901494, 42.114222"
large_airport	Portland International Jetport	PWM	"-70.309303, 43.646198"
medium_airport	Bremerton National Airport	PWT	"-122.76499938965, 47.490200042725"
small_airport	Perry Houston County Airport		"-83.76730346679688, 32.51060104370117"
seaplane_base	Port Bailey Seaplane Base	KPY	"-153.041000366, 57.930099487300005"
small_airport	Pageland Airport		"-80.34519958496094, 34.74209976196289"
small_airport	Plymouth Municipal Airport	PYM	"-70.728798, 41.909"
small_airport	Piedmont Municipal Airport		"-90.71289825439453, 37.12670135498047"
small_airport	Centre-Piedmont-Cherokee County Regional Airport		"-85.610069, 34.089977"
small_airport	Perryton Ochiltree County Airport		"-100.75199890136719, 36.412899017333984"
small_airport	Presque Isle County Airport		"-83.81289672851562, 45.407100677490234"
seaplane_base	Akutan Seaplane Base	KQA	"-165.778895617, 54.1337704415"
small_airport	Kol Airport	KQL	"144.846, -5.73116666667"
heliport	Uisang Bong Heliport		"126.591226, 35.67879"
heliport	Palgong San Heliport		"128.696181, 36.024612"
heliport	Irwol San Heliport		"129.101661, 36.803357"
heliport	Ganghwa Do Heliport		"126.437163, 37.767488"
heliport	Mangilsan Heliport		"126.44451, 36.937165"
heliport	C 503 Heliport		"127.449722222, 36.4305555556"
closed	Camp Market Heliport (H-103)		"126.71048, 37.49361"
closed	C272 Heliport		"127.255556, 37.3575"
heliport	C 137 Heliport		"126.939267, 37.840542"
closed	C 316 Heliport		"127.432222, 38.168889"
small_airport	Jukbyeon Emergency Airstrip		"129.409289, 37.059527"
heliport	Panmunjom Helipad (H-128)		"126.677261, 37.954616"
heliport	Daejon Government Heliport		"127.382838, 36.362654"
heliport	Chulmae Heliport		"126.526338, 36.302602"
heliport	Nonsan Training Group Heliport		"127.106763, 36.111924"
heliport	Korean International Circuit Heliport		"126.424817, 34.730671"
small_airport	Yeongam Airport		"126.519542, 34.695967"
heliport	Chuja Port Heliport	JCJ	"126.324899, 33.941188"
heliport	TaesÅ-ri Heliport		"126.291626, 33.965208"
heliport	Seogwipo Heliport		"126.567154, 33.238636"
heliport	Jeju Island Naval Base Heliport		"126.480542, 33.227151"
heliport	Busan (Jakjeon) Naval Base Heliport		"129.102606, 35.096114"
heliport	Bukpo-ri Heliport		"124.669247, 37.955365"
heliport	Okchuk-tong Heliport		"124.705631, 37.843934"
closed	Paengnyongdo Beach Airfield (Sagot Beach Airfield) (K-53)		"124.715424, 37.947311"
heliport	N-209 Helipad		"124.756558, 37.775082"
heliport	Yeonpyeong-Myeon Heliport		"125.69797, 37.664068"
heliport	Seohanri Helipad		"126.206976, 37.772865"
heliport	Seogeom-ri Helipad		"126.218855, 37.720786"
heliport	Mibeop Helipad		"126.269817, 37.725666"
heliport	Palhakgol Helipad		"126.832934, 37.735647"
heliport	Irwolbong Helipad		"126.813988, 37.910285"
heliport	377th Medical Company (AA) Dustoff - Flight Line		"127.03826, 37.766883"
heliport	ROK Army 102nd Armor Brigade Heliport		"128.602998, 38.145239"
heliport	Barami Heliport		"128.72847, 36.538946"
closed	Yecheon Airport		"128.372755, 36.628409"
heliport	C-326 Heliport		"127.531786, 38.132472"
heliport	Majang-ro Heliport		"126.698308, 37.496329"
heliport	C-286A Heliport		"127.191347, 37.457278"
heliport	ROK Army Capital Defense Command Heliport (C-277)		"126.984004, 37.462462"
small_airport	Alddreu Airfield (K-40) (Cheju-do No. 2)		"126.271319, 33.203935"
heliport	Gapado Heliport		"126.278714, 33.168004"
heliport	Majang-ro Heliport		"126.698311, 37.496331"
heliport	Sangok-dong Heliport		"126.697648, 37.501438"
heliport	Janggo-do Heliport		"126.335561, 36.388491"
heliport	Keo Jin Helipad		"128.44191, 38.474202"
heliport	Okchuk-tong Heliport		"124.705631, 37.843934"
heliport	Mahyeon-ri Helipad		"127.540616, 38.238189"
small_airport	G-808 Airstrip		"128.956715, 35.971403"
closed	Camp Gary Owen Heliport (H-172)		"126.812332, 37.866473"
heliport	Brooklyn Hill Heliport (H-810)		"128.991986, 35.422562"
heliport	C-104 Heliport		"126.736146, 37.4794"
heliport	C-149 Heliport		"126.898506, 37.396095"
heliport	C-154 Heliport		"126.75402, 37.780978"
heliport	C-155 Helipad		"126.759634, 37.801886"
heliport	Warrior Base Heliport		"126.740094, 37.917693"
closed	Camp Pelham Heliport (C-165)		"126.795731, 37.879412"
heliport	C-185 Heliport		"126.227269, 37.648361"
heliport	C-189 Heliport		"126.953346, 37.947362"
heliport	C 233 Heliport		"127.101333, 38.2426766"
heliport	C-309 Heliport		"127.504143, 37.995941"
heliport	C-324 Heliport		"127.792848, 37.84125"
heliport	C-430 Heliport		"127.954352, 38.082725"
closed	C-451 Heliport		"127.94556, 37.384438"
heliport	C-502 Heliport		"127.281431, 36.563052"
heliport	C-513 Heliport		"127.579779, 37.279546"
heliport	C-520 Heliport		"126.558276, 36.135546"
heliport	C-620 Heliport		"127.222321, 36.312454"
heliport	C-708 Heliport		"126.680461, 35.901392"
heliport	C-722 Heliport		"127.01, 35.123794"
heliport	Dartboard Heliport (H-811)		"128.689052, 35.740092"
closed	Camp La Guardia Airfield		"127.043425, 37.745175"
heliport	H-253 Heliport		"126.991283, 37.447415"
heliport	H-610 Heliport		"127.523549, 37.01656"
heliport	Irwolbong Helipad		"126.813987, 37.910287"
heliport	Munhak Heliport (C-107)		"126.675676, 37.430769"
heliport	N-103 Heliport		"129.422592, 36.013126"
heliport	N-107 Helipad		"129.567363, 36.043972"
heliport	N-108 Helipad		"129.472313, 35.703167"
heliport	N-202 Heliport		"126.595894, 37.460086"
heliport	Incheon Pier 7 Helipad		"126.595896, 37.460084"
heliport	Incheon Pier 7 Helipad		"126.594959, 37.464374"
heliport	Incheon Maritime Police Helipad		"126.595869, 37.462443"
heliport	N-213 Heliport		"126.539843, 37.764736"
heliport	N-223 Heliport		"126.416875, 37.610866"
heliport	N-224 Heliport		"126.587002, 37.68769"
heliport	N-306 Heliport		"126.029666, 35.343414"
heliport	N-311 Heliport		"126.654565, 34.663415"
heliport	N-312 Heliport		"126.024293, 34.610045"
heliport	N-313 Helipad		"126.765586, 34.304782"
heliport	N-314 Heliport		"126.082562, 34.838626"
heliport	N-317 Heliport		"126.495388, 33.392276"
heliport	C-256 Heliport		"127.029588, 37.736046"
heliport	C-256 Heliport		"127.029588, 37.736046"
heliport	C-256 Heliport		"127.029588, 37.736046"
heliport	C-255 Heliport		"127.155005, 37.894467"
heliport	Soya-ri Heliport (ìì¼ë¦¬ í¬ê¸°ì¥)		"126.181589, 37.212622"
heliport	Jawol-myeon Heliport (ììë©´ í¬ë¦¬ì½¥í°)		"126.310622, 37.249679"
heliport	Byeollangeum Helipad		"126.292961, 37.263633"
heliport	Jawolseo-ro Helipad		"126.28616, 37.269299"
heliport	NaepâyÅng-ni Helipad		"126.447441, 37.250692"
heliport	Hyundai-Kia Automotive Group Namyang R&D Center Helipads		"126.815416, 37.152711"
heliport	Salgoji Heliport		"126.651909, 37.15602"
heliport	Pakkakori-sÅm Helipad		"126.654219, 37.184868"
heliport	Joongang Heights Helipad		"126.767405, 37.65917"
heliport	Joongang Heights Ville Helipad		"126.767984, 37.658781"
heliport	Rodeo Suite Helipad		"126.770685, 37.660206"
heliport	Samsung Laqvill Helipad		"126.765833, 37.660989"
heliport	Kolon Lake Polls-II North Helipad		"126.763639, 37.66299"
heliport	Kolon Lake Polls-II South Helipad		"126.764152, 37.662466"
heliport	Kolon Lake Polls-III West Helipad		"126.764358, 37.663483"
heliport	Kolon Lake Polls-III East Helipad		"126.764757, 37.663714"
heliport	Yang Woo West Helipad		"126.766546, 37.664801"
heliport	Yang Woo East Helipad		"126.76686, 37.665011"
heliport	Hyundai iâSpace Helipad		"126.770849, 37.663365"
heliport	Seoul National University School of Medicine Hospital Helipad		"126.999086, 37.580048"
heliport	Kyunghee Medical Medical Hospital Heliport		"127.051496, 37.5936"
heliport	Samsung Medical Center Helipad		"127.085273, 37.488244"
heliport	Rosedale Building North Helipad		"127.10338, 37.487629"
heliport	Rosedale Building South Helipad		"127.103311, 37.486714"
heliport	National Police Hospital Heliport		"127.123605, 37.496508"
heliport	Poonglim Want North Helipad		"127.122549, 37.389569"
heliport	Poonglim Want West Helipad		"127.121844, 37.38907"
heliport	Poonglim Want South Helipad		"127.12239, 37.388589"
heliport	Seoul National University Bundang Hospital Helipad		"127.123343, 37.352297"
heliport	Giljeon-ri Helipad		"126.452001, 37.667765"
heliport	Geomsan-dong Helipad		"126.751521, 37.79612"
heliport	Saeori-ro Helipad		"126.698162, 37.808877"
heliport	Odu Mountain Unification Observatory Helipad		"126.68008, 37.773212"
heliport	Odu Mountain Unification Observatory Helipad		"126.68008, 37.773212"
heliport	Odu Mountain Unification Observatory Helipad		"126.68008, 37.773212"
heliport	Odu Mountain Unification Observatory Helipad		"126.68008, 37.773212"
heliport	Sannam-ro Helipads		"126.696686, 37.705409"
heliport	Jangdan Helipad		"126.751208, 37.939226"
heliport	Gorangpo-ri Helipad		"126.829604, 37.977964"
heliport	Duhyeon-ri Helipad		"126.886019, 38.038308"
heliport	Baengnyeong-ri Helipad		"126.887657, 38.056628"
heliport	Jeokgeo-ri Helipads		"127.003192, 38.179802"
heliport	Deoksan-ri Helipads		"127.066294, 38.23829"
heliport	Domil-ri Helipad		"127.101329, 38.259303"
heliport	Myojang-ro Heliport		"127.145486, 38.270551"
heliport	Sanmyeong-ri Helipad		"127.178931, 38.293567"
heliport	Jeongyeong-gil Helipad		"127.347009, 38.299242"
heliport	Yongyang-ri Helipad		"127.497491, 38.283046"
heliport	Yangji-ri West Helipad		"127.517069, 38.283579"
heliport	Yangji-ri East Helipad		"127.527034, 38.284501"
heliport	Yangji-ri North Helipad		"127.53477, 38.29187"
heliport	Bangtong-ri Helipad		"127.55021, 38.286356"
heliport	Deungdae-ri North Helipad		"127.745601, 38.308304"
heliport	Deungdae-ri South Helipad		"127.745306, 38.307402"
heliport	Pungsan-ri East Helipad		"127.81451, 38.273386"
heliport	Pungsan-ri West Helipads		"127.808874, 38.266556"
heliport	Cheonmi-ri Helipad		"127.889805, 38.303598"
heliport	Heartbreak Ridge South Helipad		"128.013562, 38.295924"
heliport	Heartbreak Ridge North Helipad		"128.015867, 38.300695"
heliport	Ohyu-ri Helipad		"128.088065, 38.285543"
heliport	Ihyeon-ri Helipad		"128.111755, 38.320311"
heliport	Wolsan-ri West Helipad		"128.159953, 38.320456"
heliport	Wolsan-ri East Helipad		"128.170417, 38.314054"
heliport	Gajeon Helipad		"128.20568, 38.351408"
heliport	Gajeon-ri West Helipad		"128.20568, 38.351408"
heliport	Gajeon-ri East Helipad		"128.264949, 38.348047"
heliport	Gajeon-ri South Helipad		"128.270756, 38.332784"
heliport	Sacheon-ri Helipad		"128.311373, 38.418166"
heliport	Gomiseong-ri Helipad		"128.339042, 38.429852"
heliport	Songgang-ri Helipad		"128.342368, 38.425887"
heliport	Songgang-ri East Heliport		"128.344845, 38.425784"
heliport	Songgang-ri North Helipad		"128.35271, 38.43367"
heliport	Sangwon-ri Helipad		"128.30156, 38.40695"
heliport	Tapyeol-ri Helipad		"128.348492, 38.399839"
heliport	Sanbuk-ri Helipad		"128.357234, 38.464816"
heliport	Gomiseong-ri North Helipad		"128.339801, 38.477279"
heliport	Madal-ri		"128.356321, 38.518189"
heliport	Myeongpa-ri Helipad		"128.397962, 38.553311"
heliport	Myeongpa-ri East Helipad		"128.399588, 38.553256"
heliport	Jejin Helipad		"128.393423, 38.571418"
heliport	Myeongho-ri Heliport		"128.363241, 38.583822"
heliport	Songhyeon-ri Helipad		"128.342921, 38.572299"
heliport	Songhyeon-ri South Helipad		"128.347938, 38.558955"
heliport	Songhyeon-ri North Helipad		"128.345464, 38.576859"
heliport	Geomjang-ri Helipad		"128.346904, 38.543466"
heliport	Myeongpa-ri South Helipad		"128.335495, 38.521314"
heliport	Sangwon-ri West Helipad		"128.286519, 38.399958"
heliport	Cheondochon Helipad		"128.216771, 38.237992"
heliport	Cheondo-ri Helipad		"128.210988, 38.240628"
heliport	Wolhak-ri Helipad		"128.208403, 38.146381"
heliport	Wolhak-ri Helipad		"128.203856, 38.157743"
heliport	Seoheung-ri Helipad		"128.210699, 38.200359"
heliport	Seoheung-ri North Helipad		"128.210825, 38.204576"
heliport	Cheondo-ri East Helipad		"128.224091, 38.219436"
heliport	Cheondo-ri North Helipad North Helipad		"128.202126, 38.230052"
heliport	Hu-ri Helipad		"128.148074, 38.310573"
heliport	Bia-ri Helipad		"128.042379, 38.277833"
heliport	Bia-ri South Helipad		"128.04206, 38.257052"
heliport	Bia-ri East Helipad		"128.047036, 38.261751"
heliport	Geonsol-ri Helipad		"127.979133, 38.283061"
heliport	Geonsol-ri South Helipad		"127.983271, 38.265432"
heliport	Gobangsal-ri Helipad		"128.010582, 38.250514"
small_airport	Imdang-ri Airfield		"128.041942, 38.19605"
heliport	Wolun-ri Helipad		"128.046403, 38.254708"
heliport	Geonsol-ri West Helipad		"127.960183, 38.27359"
heliport	Geumaki-ri Helipad		"127.9074865, 38.229966"
heliport	Cheonmi-ri East Helipad		"127.904195, 38.296719"
heliport	Deungdae-ri East Helipad		"127.7766318, 38.284311"
heliport	Pungsan-ri South Helipad South Helipad		"127.785713, 38.247116"
heliport	Mahyeon-ri West Helipad		"127.579795, 38.254866"
small_airport	G-321 Airfield		"127.55613, 38.268966"
heliport	Eupnae-ri Helipad		"127.424122, 38.295227"
heliport	Hoengsan-ri Helipad		"126.986026, 38.113047"
heliport	Mapo-ri Helipad		"127.005775, 37.999331"
heliport	C-122 Heliport		"126.735655, 37.90143"
heliport	C-820 Heliport		"129.064072, 35.386108"
heliport	C-820 Heliport		"129.064072, 35.386108"
heliport	Seoul National University Bundang Hospital Helipad		"127.122985, 37.352463"
closed	Yeouido Airport		"126.921944, 37.525833"
heliport	Kkotchi Heliport		"126.235028, 37.660332"
heliport	Jangbong-ri Heliport		"126.327245, 37.522958"
heliport	Jangbong-ro Heliport		"126.335101, 37.530055"
heliport	Jinhae Naval Hospital Heliport		"128.650798, 35.140384"
heliport	Ibam Heliport		"128.168282, 34.899652"
heliport	Jinhae Naval Academy Heliport		"128.666034, 35.133397"
heliport	Jinhae Naval Base (2 helipads)		"128.636902, 35.146791"
heliport	Jinhae Submarine Base		"128.621655, 35.136864"
heliport	Jinhae Airbase/Airport Heliport		"128.699126, 35.136405"
heliport	Châodo-ri Heliport		"128.43701, 38.486465"
heliport	Myeongjeong-dong Heliport		"128.413149, 34.851535"
heliport	Samsung Total Petrochemicals Daesan Heliport		"126.353156, 37.005903"
heliport	LG Chemical Ltd Daesan Complex Heliport		"126.379938, 36.997371"
heliport	Bunam-ri Heliport		"129.249538, 37.365801"
heliport	Shinan Daewoo Hospital Heliport		"125.93294, 34.72165"
heliport	Suchi-do Heliport		"126.024224, 34.738381"
heliport	Chondung Sa Heliport		"126.514069, 37.587476"
heliport	Ssangyong East Cement Plant Heliport		"129.064352, 37.487569"
heliport	Mukho Port Heliport		"129.115255, 37.540345"
heliport	Mukho Port Heliport		"129.115255, 37.540345"
heliport	Mukho Port Heliport		"129.115255, 37.540345"
heliport	Mukho Port Heliport		"129.115255, 37.540345"
heliport	Mukho Port Heliport		"129.115255, 37.540345"
heliport	Mukho Port Heliport		"129.115255, 37.540345"
heliport	Mukho Port Heliport		"129.115255, 37.540345"
heliport	Mukho Port Heliport		"129.115255, 37.540345"
