type	name	iata_code	coordinates
heliport	Shingle Mill Heliport		"-73.05239868164062, 41.75510025024414"
closed	De Leon Municipal Airport		"-98.525325, 32.098801"
small_airport	Richards Field		"-80.51509857177734, 25.558700561523438"
heliport	Tampa General Hospital Brandon Healthplex Heliport		"-82.336981, 27.929372"
small_airport	Cross Creek Farms Airport		"-81.22200012207031, 29.23940086364746"
small_airport	Columbus Southwest Airport		"-83.18879699707031, 39.91120147705078"
small_airport	Middlekoop Airport		"-92.05460357666016, 41.08829879760742"
small_airport	Lanham Field		"-116.53700256347656, 43.87770080566406"
small_airport	Turkey Run Airport		"-84.99410247802734, 41.13059997558594"
small_airport	Schertz Aerial Service - Hudson Airport		"-89.0070037842, 40.6375007629"
seaplane_base	Lake Gage Seaplane Base		"-85.113056, 41.701389"
small_airport	Van Gorder Airport		"-88.56900024414062, 40.1786003112793"
heliport	Robinson Industries Heliport		"-95.2197036743164, 38.97890090942383"
small_airport	Natchez Trace Farm Airport		"-85.78939819335938, 37.135101318359375"
heliport	St James Heliport		"-90.702222, 30.051111"
small_airport	Brunner Airport		"-88.28759765625, 42.13610076904297"
heliport	La National Guard Heliport		"-91.10530090332031, 30.44610023498535"
closed	Goddard Field (Airport)		"-71.1391983032, 42.8097991943"
heliport	Chesapeake City Heliport		"-75.82140350341797, 39.51810073852539"
small_airport	Beech Hill Airport		"-69.8938980102539, 44.66669845581055"
small_airport	Rapids Airway Airport		"-84.62830352783203, 42.53450012207031"
small_airport	Helblad Airport		"-94.68689727783203, 47.985801696777344"
small_airport	Airpark Private Airport		"-91.45149993896484, 39.30120086669922"
small_airport	Nick's Flying Service Inc Airport		"-90.8373031616, 32.939601898199996"
small_airport	Pluhar Airport		"-106.488095, 47.13749777779999"
heliport	Western Wake Medical Center Heliport		"-78.7822036743, 35.739200592"
small_airport	Mc Connell Field Airport		"-101.299003601, 41.159999847399995"
small_airport	Emmanuel Airport		"-75.2334976196, 39.596801757799994"
small_airport	Kingston Ranch Airport		"-115.665000916, 35.7555007935"
small_airport	Klaverack Airport		"-73.6961975098, 42.262298584"
heliport	Teufel Heliport		"-123.085556, 45.530833"
closed	Bossow Airport		"-81.100701, 41.2477"
heliport	Stillwater Medical Center Heliport		"-97.079498291, 36.1152992249"
small_airport	Collins Landing Strip		"-120.200996399, 44.7499008179"
heliport	S & C Distribution Center Heliport		"-75.2287979126, 39.87929916379999"
heliport	Strawbridge & Clothier Exton Heliport		"-75.63021, 40.0306619"
heliport	Emergency Helipad		"-82.60690307620001, 34.8405990601"
heliport	Cheyenne River Health Center Heliport		"-101.243011, 44.993124"
heliport	Capitol National Bank Building Heliport		"-97.7446975708, 30.271041666699997"
heliport	Veterans Affairs Medical Center Heliport		"-95.38739776610001, 29.700199127199998"
small_airport	Hensley Airpark		"-82.67890167239999, 36.183300018299995"
heliport	Hummingbird Heliport		"-97.60610198970001, 30.553499221800003"
small_airport	Pocock Airport		"-97.36889648440001, 31.7322006226"
small_airport	Navajo Mountain Airport		"-110.794998169, 37.0083007812"
small_airport	Saguache Municipal Airport		"-106.1743889, 38.0990833"
heliport	Russell County Medical Center Heliport		"-82.078, 36.898"
small_airport	Manquin Flight Park Ultralightport		"-77.21179962160001, 37.7144012451"
small_airport	Lightning Bolt Field Airport		"-72.26360321039999, 44.4011001587"
small_airport	Field of Dreams Airport		"-92.895401001, 46.0228004456"
small_airport	Ox Meadows Airport		"-117.43699646, 47.5817985535"
small_airport	Dutch Gap Airstrip		"-88.0167007446, 42.523399353"
small_airport	Stillwater Creek Airport		"-119.641667, 46.963889"
heliport	West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport		"-79.9561111111, 39.6536111111"
closed	Schmidts Heliport		"-97.142502, 32.5821"
small_airport	Wasilla Creek Airpark		"-149.1880035, 61.66830063"
heliport	Allen Stagefield Army Heliport		"-85.64969635010002, 31.2311992645"
small_airport	Ozark Skies Airpark		"-93.57025, 36.000633"
heliport	Yuma Regional Medical Center Heliport		"-114.634002686, 32.682800293"
seaplane_base	Van Buren Seaplane Base		"-67.931999, 47.158901"
heliport	Lost Hills Sheriff's Station Heliport		"-118.713996887, 34.137798309299995"
small_airport	Pope Valley Airport		"-122.39099884, 38.6106987"
small_airport	Rancho De Aereo Airport		"-104.9844228, 40.2149839"
heliport	O And G Heliport		"-73.1162033081, 41.7737007141"
small_airport	Melanie's Airport		"-86.21829986572266, 30.918899536132812"
heliport	Aventura Heliport		"-80.13919830322266, 25.960899353027344"
small_airport	Charlton Strip		"-81.4083023071289, 26.523099899291992"
small_airport	Raju Airport		"-84.71440124511719, 32.0713996887207"
small_airport	Spotts Field		"-93.06829833984375, 43.13750076293945"
small_airport	Running Creek Ranch Airport		"-114.835999, 45.914101"
small_airport	Reichhart Airport		"-84.99720001220703, 41.02870178222656"
small_airport	Classic Landings Airport		"-88.0167007446289, 41.156700134277344"
small_airport	Cooper Airport		"-86.50420379638672, 39.641998291015625"
small_airport	Hardy Airport		"-89.26399993896484, 39.72589874267578"
small_airport	Darbro Field		"-95.95919799804688, 37.26620101928711"
small_airport	Cartersville Airport		"-84.40720367, 37.53689957"
small_airport	Greg's Flying Service Airport		"-91.69779968261719, 32.26530075073242"
heliport	Midwest Heliport		"-87.93509674072266, 41.7489013671875"
small_airport	Grass Roots Airport		"-92.47579956054688, 31.252199172973633"
heliport	Pauls Valley General Hospital Heliport		"-97.214237, 34.71979"
heliport	Bentley Heliport		"-70.91230010986328, 42.691200256347656"
small_airport	Breezecroft Airport		"-76.2052001953125, 39.250099182128906"
small_airport	Drisko Airport		"-67.55919647216797, 44.65700149536133"
heliport	Northern Pines Medical Center Heliport		"-92.2302778, 47.5175001"
heliport	Portageville Community Heliport		"-89.68009948730469, 36.4297981262207"
heliport	Va Medical Center Jackson Heliport		"-90.16809844970703, 32.31890106201172"
small_airport	Jones Landing		"-111.152163, 45.815368"
closed	Brunswick Community Hospital Heliport		"-78.2911, 34.008099"
small_airport	Mc Kay Airport		"-98.3089981079, 41.7221984863"
heliport	Stumpfield Heliport		"-70.95140075683594, 42.92390060424805"
heliport	Paulus Hook Pier Heliport		"-74.03150177001953, 40.7140007019043"
small_airport	Baker Ranches Airport		"-114.088219, 39.0311"
heliport	Oswego County At Pulaski Heliport		"-76.09020233154297, 43.551998138427734"
small_airport	Dorlon Airpark		"-81.96260070800781, 41.28839874267578"
